canonical_origin,etld1,enroll_url,cluster_size,snapshot_count,source,crux_rank,crux_bucket
https://facebook.com,facebook.com,,133.0,1.0,webauthn|webauthn-related,1000,top 1k
https://canva.com,canva.com,https://www.canva.com/settings/login-and-security,2.0,1.0,community|community:keepersecurity.com|community:passkeys.2fa.directory|community:passkeys.2stable.com|community:passkeys.directory|endpoints,1000,top 1k
https://nintendo.com,nintendo.com,https://accounts.nintendo.com/passkey,2.0,1.0,community|community:enpass.io|community:hideez.com|community:keepersecurity.com|community:passkeyindex.io|community:passkeys-directory.dashlane.com|community:passkeys.2fa.directory|community:passkeys.2stable.com|community:passkeys.com|community:passkeys.directory|community:passkeys.io|endpoints,1000,top 1k
https://target.com,target.com,https://www.target.com/account/settings/signinsecurity,2.0,1.0,community|community:enpass.io|community:fidoalliance.org|community:keepersecurity.com|community:passkeys-directory.dashlane.com|community:passkeys.2fa.directory|community:passkeys.2stable.com|community:passkeys.com|community:passkeys.directory|community:passkeys.io|endpoints,1000,top 1k
https://tiktok.com,tiktok.com,https://www.tiktok.com/ucenter_web/passkey_wizard?ug_source=others.pwdmanager&awedp_require_login=normal,2.0,1.0,community|community:enpass.io|community:fidoalliance.org|community:hideez.com|community:keepersecurity.com|community:passkeyindex.io|community:passkeys-directory.dashlane.com|community:passkeys.2fa.directory|community:passkeys.2stable.com|community:passkeys.com|community:passkeys.directory|community:passkeys.io|endpoints,1000,top 1k
https://x.com,x.com,,2.0,1.0,community|community:2fa.directory|community:enpass.io|community:fidoalliance.org|community:hideez.com|community:keepersecurity.com|community:passkeyindex.io|community:passkeys-directory.dashlane.com|community:passkeys.2fa.directory|community:passkeys.2stable.com|community:passkeys.com|community:passkeys.directory|community:passkeys.io|webauthn|webauthn-related,1000,top 1k
https://vk.com,vk.com,,2.0,0.0,community|community:2fa.directory|community:enpass.io|community:keepersecurity.com|community:passkeys.2fa.directory|community:passkeys.2stable.com|community:passkeys.com|community:passkeys.directory,1000,top 1k
https://arca.live,arca.live,,1.0,0.0,community|community:enpass.io|community:keepersecurity.com|community:passkeys.2stable.com|community:passkeys.com|community:passkeys.directory,1000,top 1k
https://boursorama.com,boursorama.com,,1.0,0.0,community|community:enpass.io|community:fidoalliance.org|community:keepersecurity.com|community:passkeyindex.io|community:passkeys.2fa.directory|community:passkeys.2stable.com|community:passkeys.com|community:passkeys.directory,1000,top 1k
https://classlink.com,classlink.com,,1.0,0.0,community|community:2fa.directory|community:passkeys.2fa.directory,1000,top 1k
https://discord.com,discord.com,,1.0,0.0,community|community:2fa.directory|community:fidoalliance.org|community:hideez.com|community:keepersecurity.com|community:passkeyindex.io|community:passkeys-directory.dashlane.com|community:passkeys.2stable.com|community:passkeys.com|community:passkeys.directory|community:passkeys.io,1000,top 1k
https://github.com,github.com,,1.0,0.0,community|community:2fa.directory|community:enpass.io|community:fidoalliance.org|community:hideez.com|community:keepersecurity.com|community:passkeyindex.io|community:passkeys-directory.dashlane.com|community:passkeys.2fa.directory|community:passkeys.2stable.com|community:passkeys.com|community:passkeys.directory|community:passkeys.io,1000,top 1k
https://homedepot.com,homedepot.com,,1.0,0.0,community|community:fidoalliance.org|community:keepersecurity.com|community:passkeyindex.io|community:passkeys-directory.dashlane.com|community:passkeys.2fa.directory|community:passkeys.2stable.com|community:passkeys.com|community:passkeys.directory,1000,top 1k
https://hubspot.com,hubspot.com,,1.0,0.0,community|community:keepersecurity.com|community:passkeys-directory.dashlane.com|community:passkeys.2stable.com|community:passkeys.directory,1000,top 1k
https://indeed.com,indeed.com,,1.0,0.0,community|community:passkeys.2stable.com|community:passkeys.directory,1000,top 1k
https://lowes.com,lowes.com,,1.0,0.0,community|community:keepersecurity.com|community:passkeys-directory.dashlane.com|community:passkeys.2fa.directory|community:passkeys.2stable.com|community:passkeys.com|community:passkeys.directory,1000,top 1k
https://nikkei.com,nikkei.com,,1.0,0.0,community,1000,top 1k
https://onet.pl,onet.pl,,1.0,0.0,community|community:2fa.directory|community:enpass.io|community:passkeys.2fa.directory,1000,top 1k
https://onlyfans.com,onlyfans.com,,1.0,0.0,community|community:enpass.io|community:fidoalliance.org|community:hideez.com|community:keepersecurity.com|community:passkeys-directory.dashlane.com|community:passkeys.2stable.com|community:passkeys.com|community:passkeys.directory,1000,top 1k
https://pixiv.net,pixiv.net,,1.0,0.0,community|community:keepersecurity.com|community:passkeys.2stable.com|community:passkeys.com|community:passkeys.directory|community:passkeys.io,1000,top 1k
https://microsoft.com,microsoft.com,,,,manually added,1000,top 1k
https://www.airbnb.com,airbnb.com,,150.0,1.0,webauthn|webauthn-related,5000,top 5k
https://ticketmaster.com,ticketmaster.com,,29.0,1.0,community|community:passkeys.2fa.directory|community:passkeys.directory|webauthn|webauthn-related,5000,top 5k
https://www.yelp.com,yelp.com,,27.0,1.0,webauthn|webauthn-related,5000,top 5k
https://intuit.com,intuit.com,https://accounts.intuit.com/app/account-manager/security/passkey,5.0,1.0,community|community:passkeys-directory.dashlane.com|endpoints|webauthn|webauthn-related,5000,top 5k
https://online.nomura.co.jp,nomura.co.jp,,5.0,1.0,webauthn|webauthn-related,5000,top 5k
https://www.gmx.net,gmx.net,,5.0,1.0,webauthn|webauthn-related,5000,top 5k
https://www.web.de,web.de,,5.0,1.0,webauthn|webauthn-related,5000,top 5k
https://www.mercadopago.com.ar,mercadopago.com.ar,,4.0,1.0,webauthn|webauthn-related,5000,top 5k
https://www.mercadopago.com.br,mercadopago.com.br,,4.0,1.0,webauthn|webauthn-related,5000,top 5k
https://dropbox.com,dropbox.com,https://www.dropbox.com/account/security,3.0,1.0,community|community:2fa.directory|community:enpass.io|community:fidoalliance.org|community:hideez.com|community:keepersecurity.com|community:passkeyindex.io|community:passkeys.2fa.directory|community:passkeys.directory|endpoints,5000,top 5k
https://sso.tbank.ru,tbank.ru,,3.0,1.0,webauthn|webauthn-related,5000,top 5k
https://docusign.com,docusign.com,https://account.docusign.com/me/privacy-security,2.0,1.0,community|community:enpass.io|community:fidoalliance.org|community:hideez.com|community:keepersecurity.com|community:passkeyindex.io|community:passkeys-directory.dashlane.com|community:passkeys.2fa.directory|community:passkeys.2stable.com|community:passkeys.com|community:passkeys.directory|endpoints,5000,top 5k
https://mercari.com,mercari.com,https://jp.mercari.com/mypage/personal_info/passkeys,2.0,1.0,community|community:enpass.io|community:fidoalliance.org|community:keepersecurity.com|community:passkeyindex.io|community:passkeys.2stable.com|community:passkeys.com|community:passkeys.directory|endpoints,5000,top 5k
https://moneyforward.com,moneyforward.com,https://id.moneyforward.com/webauthn/credentials,2.0,1.0,community|community:enpass.io|community:fidoalliance.org|community:keepersecurity.com|community:passkeyindex.io|community:passkeys-directory.dashlane.com|community:passkeys.2stable.com|community:passkeys.com|community:passkeys.directory|endpoints,5000,top 5k
https://openai.com,openai.com,,2.0,1.0,community|community:passkeys.directory|webauthn|webauthn-related,5000,top 5k
https://www.betclic.ci,betclic.ci,,2.0,1.0,webauthn|webauthn-related,5000,top 5k
https://www.ebay.ca,ebay.ca,https://accounts.ebay.ca/acctsec/manage/passkeys/create,2.0,1.0,endpoints,5000,top 5k
https://www.ebay.com.au,ebay.com.au,https://accounts.ebay.com.au/acctsec/manage/passkeys/create,1.0,1.0,endpoints,5000,top 5k
https://www.ebay.fr,ebay.fr,https://accounts.ebay.fr/acctsec/manage/passkeys/create,1.0,1.0,endpoints,5000,top 5k
https://codere.mx,codere.mx,,6.0,1.0,community|webauthn|webauthn-related,10000,top 10k
https://softbank.jp,softbank.jp,,5.0,1.0,community|webauthn|webauthn-related,10000,top 10k
